,Index,Tweets,label,length,token_text,stop_tokens,hash_token,idf_token,features,rawPrediction,probability,prediction
10,102907,working framework web based sl application product registration server login site security amp comms done,0.0,105,"['working', 'framework', 'web', 'based', 'sl', 'application', 'product', 'registration', 'server', 'login', 'site', 'security', 'amp', 'comms', 'done']","['working', 'framework', 'web', 'based', 'sl', 'application', 'product', 'registration', 'server', 'login', 'site', 'security', 'amp', 'comms', 'done']","(262144,[52879,69644,71450,92378,94851,113299,138839,143337,174403,188453,194186,206622,220850,236461,239982],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[52879,69644,71450,92378,94851,113299,138839,143337,174403,188453,194186,206622,220850,236461,239982],[7.292434419330466,8.13973227971767,4.975664691344464,8.545197387825835,5.804357363900634,4.584384218228257,7.628906655951679,7.852050207265889,8.13973227971767,8.545197387825835,7.628906655951679,8.545197387825835,6.840449295587409,6.53029436728357,3.9300768709845753])","(262145,[52879,69644,71450,92378,94851,113299,138839,143337,174403,188453,194186,206622,220850,236461,239982,262144],[7.292434419330466,8.13973227971767,4.975664691344464,8.545197387825835,5.804357363900634,4.584384218228257,7.628906655951679,7.852050207265889,8.13973227971767,8.545197387825835,7.628906655951679,8.545197387825835,6.840449295587409,6.53029436728357,3.9300768709845753,105.0])","[-1277.085436012182,-1393.8337621038277]","[1.0,1.980825448575848e-51]",0.0
11,103268,stephen king fo sho,0.0,19,"['stephen', 'king', 'fo', 'sho']","['stephen', 'king', 'fo', 'sho']","(262144,[109906,125563,206910,228716],[1.0,1.0,1.0,1.0])","(262144,[109906,125563,206910,228716],[7.446585099157725,8.545197387825835,7.292434419330466,7.446585099157725])","(262145,[109906,125563,206910,228716,262144],[7.446585099157725,8.545197387825835,7.292434419330466,7.446585099157725,19.0])","[-395.13585405750746,-430.6799154199905]","[0.9999999999999996,3.6594033881425684e-16]",0.0
12,103387,britney spears songs desktop,0.0,28,"['britney', 'spears', 'songs', 'desktop']","['britney', 'spears', 'songs', 'desktop']","(262144,[1206,6946,101057,240310],[1.0,1.0,1.0,1.0])","(262144,[1206,6946,101057,240310],[7.446585099157725,5.871048738399306,7.628906655951679,8.13973227971767])","(262145,[1206,6946,101057,240310,262144],[7.446585099157725,5.871048738399306,7.628906655951679,8.13973227971767,28.0])","[-332.37659212668103,-401.51861937747054]","[1.0,9.375600583324945e-31]",0.0
13,103728,mom likes milows version ayo technology good thing doesnt clue,0.0,62,"['mom', 'likes', 'milows', 'version', 'ayo', 'technology', 'good', 'thing', 'doesnt', 'clue']","['mom', 'likes', 'milows', 'version', 'ayo', 'technology', 'good', 'thing', 'doesnt', 'clue']","(262144,[24346,27498,56956,65908,70065,100021,113432,141269,168695,175431],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[24346,27498,56956,65908,70065,100021,113432,141269,168695,175431],[7.292434419330466,7.041119991049561,7.852050207265889,7.041119991049561,4.546996686156636,5.079461485026108,2.7552372169285815,5.231011383153309,7.446585099157725,8.13973227971767])","(262145,[24346,27498,56956,65908,70065,100021,113432,141269,168695,175431,262144],[7.292434419330466,7.041119991049561,7.852050207265889,7.041119991049561,4.546996686156636,5.079461485026108,2.7552372169285815,5.231011383153309,7.446585099157725,8.13973227971767,62.0])","[-716.8537200824612,-747.7123829530861]","[0.9999999999999603,3.965089515662739e-14]",0.0
14,103972,thanks elephants look magnificent miss due stupid restrictions 3g pleease cheap,0.0,79,"['thanks', 'elephants', 'look', 'magnificent', 'miss', 'due', 'stupid', 'restrictions', '3g', 'pleease', 'cheap']","['thanks', 'elephants', 'look', 'magnificent', 'miss', 'due', 'stupid', 'restrictions', '3g', 'pleease', 'cheap']","(262144,[1696,53484,60824,64358,152152,162353,179677,188831,201125,223763,232735],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[1696,53484,60824,64358,152152,162353,179677,188831,201125,223763,232735],[6.29390558921934,8.13973227971767,6.29390558921934,3.3522405369356245,8.545197387825835,7.628906655951679,8.545197387825835,8.13973227971767,8.545197387825835,4.584384218228257,5.079461485026108])","(262145,[1696,53484,60824,64358,152152,162353,179677,188831,201125,223763,232735,262144],[6.29390558921934,8.13973227971767,6.29390558921934,3.3522405369356245,8.545197387825835,7.628906655951679,8.545197387825835,8.13973227971767,8.545197387825835,4.584384218228257,5.079461485026108,79.0])","[-944.2082571356401,-994.3988611663538]","[1.0,1.5940341674172012e-22]",0.0
15,104344,okay well dont feel bad lmao,0.0,28,"['okay', 'well', 'dont', 'feel', 'bad', 'lmao']","['okay', 'well', 'dont', 'feel', 'bad', 'lmao']","(262144,[61899,76966,87273,145380,186925,261610],[1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[61899,76966,87273,145380,186925,261610],[4.0678605733476285,5.454154934467519,3.3008083633033536,4.613371755101509,3.632542502089783,5.268052654833658])","(262145,[61899,76966,87273,145380,186925,261610,262144],[4.0678605733476285,5.454154934467519,3.3008083633033536,4.613371755101509,3.632542502089783,5.268052654833658,28.0])","[-245.68133140944485,-259.6900323773481]","[0.9999991756756799,8.243243200108407e-07]",0.0
16,104714,surfing twitter,0.0,15,"['surfing', 'twitter']","['surfing', 'twitter']","(262144,[1512,45958],[1.0,1.0])","(262144,[1512,45958],[3.9300768709845753,8.13973227971767])","(262145,[1512,45958,262144],[3.9300768709845753,8.13973227971767,15.0])","[-137.33642930573484,-162.7277906364098]","[0.99999999999061,9.39013608109171e-12]",0.0
17,104998,back lovely land north,0.0,22,"['back', 'lovely', 'land', 'north']","['back', 'lovely', 'land', 'north']","(262144,[51218,93484,132270,168342],[1.0,1.0,1.0,1.0])","(262144,[51218,93484,132270,168342],[6.840449295587409,7.158903026705945,3.589370330224574,5.454154934467519])","(262145,[51218,93484,132270,168342,262144],[6.840449295587409,7.158903026705945,3.589370330224574,5.454154934467519,22.0])","[-233.87358435365581,-304.15655837924754]","[1.0,2.9956578510783905e-31]",0.0
18,105854,id like see picture carl john everyone read faces youre proud love eachother,0.0,76,"['id', 'like', 'see', 'picture', 'carl', 'john', 'everyone', 'read', 'faces', 'youre', 'proud', 'love', 'eachother']","['id', 'like', 'see', 'picture', 'carl', 'john', 'everyone', 'read', 'faces', 'youre', 'proud', 'love', 'eachother']","(262144,[8538,18615,37101,46751,53570,98493,186480,189416,208258,209749,235217,235699,251861],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[8538,18615,37101,46751,53570,98493,186480,189416,208258,209749,235217,235699,251861],[3.495341380576298,7.852050207265889,4.163170753151953,7.852050207265889,4.907611228099449,7.852050207265889,2.9749463057941563,5.095209841994247,2.984515756810307,3.9965975533261378,6.060290738037835,6.01946874351758,6.935759475391735])","(262145,[8538,18615,37101,46751,53570,98493,186480,189416,208258,209749,235217,235699,251861,262144],[3.495341380576298,7.852050207265889,4.163170753151953,7.852050207265889,4.907611228099449,7.852050207265889,2.9749463057941563,5.095209841994247,2.984515756810307,3.9965975533261378,6.060290738037835,6.01946874351758,6.935759475391735,76.0])","[-757.2329890333123,-838.976943991808]","[1.0,3.155378286027855e-36]",0.0
19,106175,happy birthday snickers hope best day ever lets go shopping,0.0,59,"['happy', 'birthday', 'snickers', 'hope', 'best', 'day', 'ever', 'lets', 'go', 'shopping']","['happy', 'birthday', 'snickers', 'hope', 'best', 'day', 'ever', 'lets', 'go', 'shopping']","(262144,[16226,59009,128160,148675,166027,183411,203802,228967,254061,258969],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[16226,59009,128160,148675,166027,183411,203802,228967,254061,258969],[8.13973227971767,5.711984043769619,3.905625775120411,3.374713392787683,4.227709274289524,3.7452831250452316,4.593953669244407,4.894539146532097,2.971144019844418,5.231011383153309])","(262145,[16226,59009,128160,148675,166027,183411,203802,228967,254061,258969,262144],[8.13973227971767,5.711984043769619,3.905625775120411,3.374713392787683,4.227709274289524,3.7452831250452316,4.593953669244407,4.894539146532097,2.971144019844418,5.231011383153309,59.0])","[-477.80235328125724,-540.7678784563287]","[1.0,4.5125275493604305e-28]",0.0
20,106208,oh thanks help,0.0,14,"['oh', 'thanks', 'help']","['oh', 'thanks', 'help']","(262144,[18184,64358,239859],[1.0,1.0,1.0])","(262144,[18184,64358,239859],[4.012597894672579,3.3522405369356245,4.370810117930198])","(262145,[18184,64358,239859,262144],[4.012597894672579,3.3522405369356245,4.370810117930198,14.0])","[-106.19013525834467,-120.72386583878566]","[0.9999995123808023,4.876191978135544e-07]",0.0
21,107073,der maaaaster back,0.0,18,"['der', 'maaaaster', 'back']","['der', 'maaaaster', 'back']","(262144,[28054,132270,190441],[1.0,1.0,1.0])","(262144,[28054,132270,190441],[7.628906655951679,3.589370330224574,8.545197387825835])","(262145,[28054,132270,190441,262144],[7.628906655951679,3.589370330224574,8.545197387825835,18.0])","[-243.2605336522837,-266.0478793393703]","[0.9999999998730649,1.269350360876273e-10]",0.0
22,107305,lazy bank holiday monday,0.0,24,"['lazy', 'bank', 'holiday', 'monday']","['lazy', 'bank', 'holiday', 'monday']","(262144,[51504,146390,222966,243871],[1.0,1.0,1.0,1.0])","(262144,[51504,146390,222966,243871],[6.405131224329564,6.935759475391735,5.574782922256134,6.465755846145999])","(262145,[51504,146390,222966,243871,262144],[6.405131224329564,6.935759475391735,5.574782922256134,6.465755846145999,24.0])","[-263.9438650920255,-319.6166450732497]","[1.0,6.631608231437223e-25]",0.0
23,107335,every kiss give ill give three,0.0,30,"['every', 'kiss', 'give', 'ill', 'give', 'three']","['every', 'kiss', 'give', 'ill', 'give', 'three']","(262144,[96005,98574,107367,176497,235248],[1.0,1.0,2.0,1.0,1.0])","(262144,[96005,98574,107367,176497,235248],[6.193822130662357,7.292434419330466,9.663250642243055,4.831625321121527,3.935039660326704])","(262145,[96005,98574,107367,176497,235248,262144],[6.193822130662357,7.292434419330466,9.663250642243055,4.831625321121527,3.935039660326704,30.0])","[-321.7347550794022,-335.8908336275695]","[0.999999288634347,7.11365652942402e-07]",0.0
24,107587,thank check,0.0,11,"['thank', 'check']","['thank', 'check']","(262144,[81783,203005],[1.0,1.0])","(262144,[81783,203005],[4.050958762545025,4.7057450752325245])","(262145,[81783,203005,262144],[4.050958762545025,4.7057450752325245,11.0])","[-79.46886721251326,-96.02221959422934]","[0.9999999352901527,6.470984737849398e-08]",0.0
25,107615,old enough know better young enough care,0.0,40,"['old', 'enough', 'know', 'better', 'young', 'enough', 'care']","['old', 'enough', 'know', 'better', 'young', 'enough', 'care']","(262144,[36225,109230,113004,140931,182235,235375],[1.0,1.0,2.0,1.0,1.0,1.0])","(262144,[36225,109230,113004,140931,182235,235375],[6.2426122948317895,5.160807124480061,10.574201699608706,3.2825071989209493,5.1440000061636795,4.102546131335519])","(262145,[36225,109230,113004,140931,182235,235375,262144],[6.2426122948317895,5.160807124480061,10.574201699608706,3.2825071989209493,5.1440000061636795,4.102546131335519,40.0])","[-343.9683751426983,-354.9593054883715]","[0.9999831464155942,1.6853584405952365e-05]",0.0
26,107657,oh wow really good think im going use one lol,0.0,45,"['oh', 'wow', 'really', 'good', 'think', 'im', 'going', 'use', 'one', 'lol']","['oh', 'wow', 'really', 'good', 'think', 'im', 'going', 'use', 'one', 'lol']","(262144,[4631,18184,21823,31015,41809,98717,102382,113432,153423,229264],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[4631,18184,21823,31015,41809,98717,102382,113432,153423,229264],[5.063957298490143,4.012597894672579,3.391905793328056,2.38083050584039,3.2773392287625067,4.868896715918758,3.3578115819850796,2.7552372169285815,3.6853849834641625,3.6931671239062176])","(262145,[4631,18184,21823,31015,41809,98717,102382,113432,153423,229264,262144],[5.063957298490143,4.012597894672579,3.391905793328056,2.38083050584039,3.2773392287625067,4.868896715918758,3.3578115819850796,2.7552372169285815,3.6853849834641625,3.6931671239062176,45.0])","[-319.546962439855,-364.18507490078144]","[1.0,4.1106838394181915e-20]",0.0
27,107751,har varit pï½ hannah montana movie cool,0.0,39,"['har', 'varit', 'pï½', 'hannah', 'montana', 'movie', 'cool']","['har', 'varit', 'pï½', 'hannah', 'montana', 'movie', 'cool']","(262144,[85725,93122,123938,168760,201954,210223,223619],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[85725,93122,123938,168760,201954,210223,223619],[7.292434419330466,7.446585099157725,8.13973227971767,8.13973227971767,7.158903026705945,4.856317933711899,4.49341244002253])","(262145,[85725,93122,123938,168760,201954,210223,223619,262144],[7.292434419330466,7.446585099157725,8.13973227971767,8.13973227971767,7.158903026705945,4.856317933711899,4.49341244002253,39.0])","[-587.48770397883,-613.1112522617948]","[0.9999999999925555,7.444480110130746e-12]",0.0
28,107966,good morning tweeties today rested richmond ready hit beach,0.0,59,"['good', 'morning', 'tweeties', 'today', 'rested', 'richmond', 'ready', 'hit', 'beach']","['good', 'morning', 'tweeties', 'today', 'rested', 'richmond', 'ready', 'hit', 'beach']","(262144,[2285,34465,64238,88573,110458,113432,114972,131672,219709],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[2285,34465,64238,88573,110458,113432,114972,131672,219709],[8.545197387825835,5.871048738399306,3.3977029110123818,8.13973227971767,7.292434419330466,2.7552372169285815,5.3881969666757215,3.9756543794808943,4.613371755101509])","(262145,[2285,34465,64238,88573,110458,113432,114972,131672,219709,262144],[8.545197387825835,5.871048738399306,3.3977029110123818,8.13973227971767,7.292434419330466,2.7552372169285815,5.3881969666757215,3.9756543794808943,4.613371755101509,59.0])","[-553.7660605179154,-653.4195240621552]","[1.0,5.260786537938006e-44]",0.0
29,107993,good atmos decided stay til closing funny,0.0,41,"['good', 'atmos', 'decided', 'stay', 'til', 'closing', 'funny']","['good', 'atmos', 'decided', 'stay', 'til', 'closing', 'funny']","(262144,[64174,73249,113432,129508,169602,194194,236015],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[64174,73249,113432,129508,169602,194194,236015],[8.13973227971767,5.409703171896685,2.7552372169285815,5.871048738399306,6.2426122948317895,5.160807124480061,8.13973227971767])","(262145,[64174,73249,113432,129508,169602,194194,236015,262144],[8.13973227971767,5.409703171896685,2.7552372169285815,5.871048738399306,6.2426122948317895,5.160807124480061,8.13973227971767,41.0])","[-451.2333984864692,-511.3275675330092]","[1.0,7.969553465341393e-27]",0.0
30,108893,talk hips,0.0,9,"['talk', 'hips']","['talk', 'hips']","(262144,[72125,250574],[1.0,1.0])","(262144,[72125,250574],[5.111210183340688,7.852050207265889])","(262145,[72125,250574,262144],[5.111210183340688,7.852050207265889,9.0])","[-140.03975752260118,-158.9379231249193]","[0.9999999937965831,6.20341674663625e-09]",0.0
31,10899,mistaken uncle pm angamali antwics gone case shavam,0.0,51,"['mistaken', 'uncle', 'pm', 'angamali', 'antwics', 'gone', 'case', 'shavam']","['mistaken', 'uncle', 'pm', 'angamali', 'antwics', 'gone', 'case', 'shavam']","(262144,[121621,182496,184217,192310,205805,214210,229388,253074],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[121621,182496,184217,192310,205805,214210,229388,253074],[7.292434419330466,5.711984043769619,8.545197387825835,6.2426122948317895,8.545197387825835,6.599287238770521,8.545197387825835,8.545197387825835])","(262145,[121621,182496,184217,192310,205805,214210,229388,253074,262144],[7.292434419330466,5.711984043769619,8.545197387825835,6.2426122948317895,8.545197387825835,6.599287238770521,8.545197387825835,8.545197387825835,51.0])","[-775.7059795272932,-769.0569103702957]","[0.0012935517542629095,0.998706448245737]",1.0
32,109110,enjoyed seen everyone last night even tho really bad night financially cant wait kick drive ins,0.0,95,"['enjoyed', 'seen', 'everyone', 'last', 'night', 'even', 'tho', 'really', 'bad', 'night', 'financially', 'cant', 'wait', 'kick', 'drive', 'ins']","['enjoyed', 'seen', 'everyone', 'last', 'night', 'even', 'tho', 'really', 'bad', 'night', 'financially', 'cant', 'wait', 'kick', 'drive', 'ins']","(262144,[5381,37101,56490,145380,146821,149321,150069,152823,174966,181837,186593,189957,229264,240840,243658],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(262144,[5381,37101,56490,145380,146821,149321,150069,152823,174966,181837,186593,189957,229264,240840,243658],[4.0966810118831205,4.163170753151953,8.545197387825835,4.613371755101509,5.837147186723625,5.804357363900634,4.355542645799409,6.840449295587409,4.318363642557655,8.13973227971767,5.772608665586054,7.540568854501298,3.6931671239062176,6.405131224329564,3.7830234530280786])","(262145,[5381,37101,56490,145380,146821,149321,150069,152823,174966,181837,186593,189957,229264,240840,243658,262144],[4.0966810118831205,4.163170753151953,8.545197387825835,4.613371755101509,5.837147186723625,5.804357363900634,4.355542645799409,6.840449295587409,4.318363642557655,8.13973227971767,5.772608665586054,7.540568854501298,3.6931671239062176,6.405131224329564,3.7830234530280786,95.0])","[-879.6038609595109,-979.9089381804258]","[1.0,2.741943212898843e-44]",0.0
33,109547,yes ily,0.0,7,"['yes', 'ily']","['yes', 'ily']","(262144,[138036,177989],[1.0,1.0])","(262144,[138036,177989],[4.442554022789039,7.158903026705945])","(262145,[138036,177989,262144],[4.442554022789039,7.158903026705945,7.0])","[-114.10613892090187,-134.2967223144679]","[0.9999999982965042,1.703495713246449e-09]",0.0
34,110182,finished little booty duty work im hungry,0.0,41,"['finished', 'little', 'booty', 'duty', 'work', 'im', 'hungry']","['finished', 'little', 'booty', 'duty', 'work', 'im', 'hungry']","(262144,[31015,34343,74107,136949,210780,242022,258033],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[31015,34343,74107,136949,210780,242022,258033],[2.38083050584039,3.7830234530280786,7.628906655951679,5.65482562992967,6.53029436728357,4.8075277695424665,7.852050207265889])","(262145,[31015,34343,74107,136949,210780,242022,258033,262144],[2.38083050584039,3.7830234530280786,7.628906655951679,5.65482562992967,6.53029436728357,4.8075277695424665,7.852050207265889,41.0])","[-426.3877930020323,-475.39189206811346]","[1.0,5.221438714832946e-22]",0.0
35,11026,thx advice waiting petosin kick,0.0,31,"['thx', 'advice', 'waiting', 'petosin', 'kick']","['thx', 'advice', 'waiting', 'petosin', 'kick']","(262144,[38987,86311,152823,174207,230229],[1.0,1.0,1.0,1.0,1.0])","(262144,[38987,86311,152823,174207,230229],[8.545197387825835,5.249360521821505,6.840449295587409,6.53029436728357,6.147302115027464])","(262145,[38987,86311,152823,174207,230229,262144],[8.545197387825835,5.249360521821505,6.840449295587409,6.53029436728357,6.147302115027464,31.0])","[-390.77033281396956,-408.8160717443555]","[0.9999999854509327,1.454906735152377e-08]",0.0
36,110565,macbook inviting friend twitter happy mothers day,0.0,49,"['macbook', 'inviting', 'friend', 'twitter', 'happy', 'mothers', 'day']","['macbook', 'inviting', 'friend', 'twitter', 'happy', 'mothers', 'day']","(262144,[1512,55039,74520,145869,183411,240459,254061],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(262144,[1512,55039,74520,145869,183411,240459,254061],[3.9300768709845753,6.935759475391735,4.894539146532097,8.545197387825835,3.7452831250452316,5.600758408659394,2.971144019844418])","(262145,[1512,55039,74520,145869,183411,240459,254061,262144],[3.9300768709845753,6.935759475391735,4.894539146532097,8.545197387825835,3.7452831250452316,5.600758408659394,2.971144019844418,49.0])","[-400.21488830077703,-464.5337447102788]","[1.0,1.165938327697166e-28]",0.0
37,110639,little buzz epoxy paint,0.0,23,"['little', 'buzz', 'epoxy', 'paint']","['little', 'buzz', 'epoxy', 'paint']","(262144,[33647,150757,206250,242022],[1.0,1.0,1.0,1.0])","(262144,[33647,150757,206250,242022],[8.13973227971767,8.545197387825835,6.840449295587409,4.8075277695424665])","(262145,[33647,150757,206250,242022,262144],[8.13973227971767,8.545197387825835,6.840449295587409,4.8075277695424665,23.0])","[-358.68649201027836,-383.1367946879135]","[0.9999999999759359,2.40640358674649e-11]",0.0
38,110834,mother city terrell texas district 2 city council seat im mia lol happy mothers day,0.0,83,"['mother', 'city', 'terrell', 'texas', 'district', '2', 'city', 'council', 'seat', 'im', 'mia', 'lol', 'happy', 'mothers', 'day']","['mother', 'city', 'terrell', 'texas', 'district', '2', 'city', 'council', 'seat', 'im', 'mia', 'lol', 'happy', 'mothers', 'day']","(262144,[12524,25615,31015,41809,47171,165399,176122,183411,228052,229543,240459,245426,254061,255329],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(262144,[12524,25615,31015,41809,47171,165399,176122,183411,228052,229543,240459,245426,254061,255329],[4.034337881308985,7.041119991049561,2.38083050584039,3.2773392287625067,8.545197387825835,8.545197387825835,8.545197387825835,3.7452831250452316,7.446585099157725,12.485224589663579,5.600758408659394,6.01946874351758,2.971144019844418,6.75343791859778])","(262145,[12524,25615,31015,41809,47171,165399,176122,183411,228052,229543,240459,245426,254061,255329,262144],[4.034337881308985,7.041119991049561,2.38083050584039,3.2773392287625067,8.545197387825835,8.545197387825835,8.545197387825835,3.7452831250452316,7.446585099157725,12.485224589663579,5.600758408659394,6.01946874351758,2.971144019844418,6.75343791859778,83.0])","[-991.9074806352317,-1110.8736134507121]","[1.0,2.1560805651089806e-52]",0.0
